us_city,full_us_state,us_state,population,density,"City,State",airport
Murfreesboro,Tennessee,TN,108755,1965,"Murfreesboro,TN",KMQY
Columbia,Missouri,MO,108500,1720.1,"Columbia,MO",KCOU
Elgin,Illinois,IL,108188,2911.1,"Elgin,IL",KDPA
Clearwater,Florida,FL,107685,4212.8,"Clearwater,FL",KPIE
Miami Gardens,Florida,FL,107167,5878.4,"Miami Gardens,FL",KOPF
Rochester,Minnesota,MN,106769,1956,"Rochester,MN",K9MN
Pueblo,Colorado,CO,106595,1987.2,"Pueblo,CO",KPUB
Lowell,Massachusetts,MA,106519,7842.1,"Lowell,MA",KLWM
Wilmington,North Carolina,NC,106476,2067.8,"Wilmington,NC",KILM
Arvada,Colorado,CO,106433,3028.6,"Arvada,CO",KBJC
Ventura,California,CA,106433,4915,"Ventura,CA",KOXR
Westminster,Colorado,CO,106114,3363.3,"Westminster,CO",KBJC
West Covina,California,CA,106098,6614.3,"West Covina,CA",KEMT
Gresham,Oregon,OR,105594,4551.3,"Gresham,OR",KTTD
Fargo,North Dakota,ND,105549,2162,"Fargo,ND",KFAR
Norwalk,California,CA,105549,10873.5,"Norwalk,CA",KFUL
Carlsbad,California,CA,105328,2792.2,"Carlsbad,CA",KCRQ
Fairfield,California,CA,105321,2816.8,"Fairfield,CA",KSUU
Cambridge,Massachusetts,MA,105162,16469.1,"Cambridge,MA",KBOS
Wichita Falls,Texas,TX,104553,1449.3,"Wichita Falls,TX",KCWC
High Point,North Carolina,NC,104371,1939.9,"High Point,NC",KGSO
Billings,Montana,MT,104170,2399.5,"Billings,MT",KBIL
Green Bay,Wisconsin,WI,104057,2288.6,"Green Bay,WI",KGRB
West Jordan,Utah,UT,103712,3195.4,"West Jordan,UT",KU42
Richmond,California,CA,103701,3448.9,"Richmond,CA",KCCR
Murrieta,California,CA,103466,3081.4,"Murrieta,CA",KF70
Burbank,California,CA,103340,5959.3,"Burbank,CA",KBUR
Palm Bay,Florida,FL,103190,1570.6,"Palm Bay,FL",KMLB
Everett,Washington,WA,103019,3080,"Everett,WA",KPAE
Flint,Michigan,MI,102434,3065.4,"Flint,MI",KFNT
Antioch,California,CA,102372,3611.2,"Antioch,CA",KCCR
Erie,Pennsylvania,PA,101786,5334.5,"Erie,PA",KERI
South Bend,Indiana,IN,101168,2440.3,"South Bend,IN",KSBN
Daly City,California,CA,101123,13195,"Daly City,CA",KSFO
Centennial,Colorado,CO,100377,3494.8,"Centennial,CO",KAPA
Temecula,California,CA,100097,3319.8,"Temecula,CA",KF70
